file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
quakeworld__CHTV_FiringSquad-Europe_Qandrane-Europe_fix_dm3_e1m2_QuakeWorld_4v4__qand_vs_[fs]_dm3_03-10-12_000.qwd	self_pov	qand	team/4on4	93146	0.841	0.841	0.615	179.21	0.0006	1214.427979	76.699	True
SmackDown5__game_875_vm_-tf-_1_dm3_hiks.qwd	self_pov	hiks	team/4on4	93016	0.6982	0.6823	0.225	175.44	0.0002	1218.425049	76.341	True
quakeworld__CHTV_Maniacs-Sweden_Numeric-Europe_Sassa_dm3_QuakeWorld_4v4__sassa_[[0]]_-_[_]_4-4_dm3_.qwd	self_pov	sassa	team/4on4	92876	0.8226	0.8226	0.406	177.36	0.0005	1213.003052	76.567	True
smackdown__rb_fa_1_dm3_astro.qwd	self_pov	astro	team/4on4	92782	0.764	0.7574	0.264	166.41	0.0004	1311.008057	70.771	True
quakeworld__CHTV_mix-Sweden_mix-Sweden_Sassa_dm3_QuakeWorld_4v4__2003-12-23_blue_vs_yell_[dm3]_000.qwd	self_pov	yell	team/4on4	92665	0.84	0.84	0.593	161.5	0.0002	1214.302002	76.311	True
quakeworld__CHTV_fspanic-Sweden_cmf-Sweden_panic_DM3_QuakeWorld_4v4__panic_[[fs]]_-_[cmf]_4-4_dm3_.qwd	self_pov	cmf	team/4on4	92630	0.8237	0.8237	0.53	172.57	0.0005	1225.804504	75.567	True
smackdown2__AG_XX_1_dm3_BullDozer.qwd	self_pov	bulldozer	team/4on4	92529	0.7698	0.7698	0.297	175.67	0.0008	1296.633057	71.361	True
SmackDown5__game_942_re_-ib-_1_dm3_cara.qwd	self_pov	cara	team/4on4	92349	0.726	0.726	0.291	175.26	0.0003	1222.53894	75.539	True
SmackDown4__game_714_tec__l__1_dm3_white.qwd	self_pov	white	team/4on4	92286	0.7927	0.7852	0.335	178.06	0.0003	1293.881958	71.325	True
quakeworld__CHTV_Firing_Squad-Europe_Koff_mix-Europe_blixem_dm3_QW_4v4__4on4_[fs]_vs_koff_dm3_24-11-04_000.qwd	self_pov	4on4	team/4on4	92269	0.7094	0.7018	0.17	153.09	0.0002	1214.154297	75.994	True
SmackDown5__game_776_list_thdm_2_dm3_nevamind.qwd	self_pov	nevamind	team/4on4	92099	0.7711	0.7679	0.313	179.85	0.0004	1217.762939	75.63	True
quakeworld__CHTV_r3v-USA_vs-USA_diehard-r3v_dm3_QW_4v4__diehard_vs2.qwd	self_pov	diehard	team/4on4	91784	0.805	0.7978	0.269	173.89	0.0001	1286.798828	71.327	True
quakeworld__CHTV_FragZone-Sweden_Dreamhack2003-Sweden_Xorcist_dm3_QuakeWorld_FFA__xor_-_[10_player_ffa]_-_[dm3]_000.qwd	self_pov	ffa	ffa	91621	0.8039	0.8039	0.648	179.08	0.0008	1211.817017	75.606	True
quakeworld__CHTV_mm-Australia_soda-Australia_psikaar_dm2_dm3_e1m2_QW_4v4___psikaar_-_[4on4_mm_vs_soda]_-_[dm3]_000.qwd	self_pov	psikaar	team/4on4	91477	0.8406	0.8406	0.742	176.06	0.0004	1224.305054	74.717	True
quakeworld__CHTV_Maniacs_-Sweden_Dybbuk-Sweden_Sassa_dm3_dm2_e1m2_QuakeWorld_4v4__04-04-04_[0]_vs_dyb_[dm3]_000.qwd	self_pov	dyb	team/4on4	91300	0.8336	0.8334	0.401	178.83	0.0005	1219.343018	74.876	True
quakeworld__CHTV_Maniacs-Sweden_Zoo-Sweden_Sassa_dm3_cmt4_e1m2_QuakeWorld_4v4__04-04-02_[0]_vs_Zoo._[cmt4]_000.qwd	self_pov	zoo	team/4on4	91277	0.6332	0.6328	0.198	179.33	0.0006	1219.289551	74.861	True
smackdown2__gq_ziploc__gq_vs__dg__dm3_3.qwd	self_pov	gq	team/4on4	91200	0.9286	0.8772	0.357	179.97	0.0008	1277.535034	71.387	True
smackdown2__FF_D_2_dm3_Rat.qwd	self_pov	rat	team/4on4	91159	0.8193	0.8193	0.445	179.84	0.0003	1282.338013	71.088	True
SmackDown4__game_690_wr__sr__1_dm3_striker.qwd	self_pov	striker	team/4on4	91141	0.7937	0.7937	0.533	156.48	0.0002	1219.504028	74.736	True
quakeworld__CHTV_Slackers-Europe_Firing_Squad-Europe_]sr[_dm3_QuakeWorld_4v4__ParadokS_]sr[_vs_fs_dm3_sfinal.qwd	self_pov	sfinal	team/4on4	91049	0.8343	0.834	0.428	178.13	0.0003	1214.452026	74.971	True
quakeworld__CHTV_Maniacs-Sweden_Zoo-Sweden_Sassa_dm3_cmt4_e1m2_QuakeWorld_4v4__04-04-02_[0]_vs_Zoo._[dm3]_000.qwd	self_pov	zoo	team/4on4	90943	0.8114	0.8114	0.593	176.07	0.0005	1214.500732	74.881	True
smackdown2__dnex-fff-gq-dm3.qwd	self_pov	gq	team/4on4	90913	0.8795	0.8795	0.308	177.47	0.0004	1274.521973	71.331	True
smackdown2__[E]_n0skill__1_dm3_Vana.qwd	self_pov	vana	team/4on4	90880	0.7352	0.7286	0.33	177.63	0.0003	1279.401001	71.033	True
quakeworld__CHTV_RoT-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__27-06-03_nitemare-rot-tav_dm3.qwd	self_pov	tav	team/4on4	90490	0.8268	0.8214	0.593	164.5	0.0004	1237.290039	73.136	True
smackdown__ff_pietro__ff__vs___E__dm3.qwd	self_pov	ff	team/4on4	90343	0.7961	0.7827	0.445	179.37	0.0004	1265.022949	71.416	True
SmackDown3__game_596_THDM_PoC_2_DM3_Spice.qwd	self_pov	spice	team/4on4	90221	0.8447	0.8371	0.725	177.94	0.0005	1266.178955	71.255	True
smackdown2__tot_para_1_dm3_oddjob.qwd	self_pov	oddjob	team/4on4	90195	0.8121	0.8041	0.225	172.01	0.0003	1263.030029	71.412	True
SmackDown4__game_738_fa_db_2_dm3_blind.qwd	self_pov	blind	team/4on4	90062	0.6922	0.6855	0.33	157.62	0.0003	1263.348999	71.288	True
quakeworld__CHTV_FITH-USA_DM-USA_chief[FITH]_dm3_QW_4v4__qil2-vsdm-chief3.qwd	self_pov	qil2	team/4on4	89846	0.7764	0.7751	0.395	162.28	0.0002	1249.038086	71.932	True
smackdown__Goljat_e_vs_ff_dm3_round1.qwd	self_pov	round1	team/4on4	89706	0.8326	0.8326	0.423	178.95	0.0006	1255.496948	71.451	True
smackdown2__game_242_FS_NS_3_DM3_Crit.qwd	self_pov	crit	team/4on4	89694	0.8091	0.8091	0.401	178.85	0.0005	1255.30896	71.452	True
SmackDown3__game_441_OMG_AQ_2_DM3_xxx.qwd	self_pov	xxx	team/4on4	89683	0.8398	0.8301	0.555	177.24	0.0005	1257.369995	71.326	True
SmackDown3__game_465_AMD_ED_1_DM3_exile.qwd	self_pov	exile	team/4on4	89604	0.7864	0.7725	0.401	173.85	0.0003	1255.901001	71.346	True
smackdown__rb_fa_1_dm3_adder.qwd	self_pov	adder	team/4on4	89595	0.7732	0.7732	0.0	177.48	0.0006	1249.343018	71.714	True
